
Активные подключения

  Имя    Локальный адрес        Внешний адрес          Состояние       PID
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       1788
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:3306           0.0.0.0:0              LISTENING       6688
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING       11880
  TCP    0.0.0.0:7680           0.0.0.0:0              LISTENING       4616
  TCP    0.0.0.0:8080           0.0.0.0:0              LISTENING       12416
  TCP    0.0.0.0:11021          0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:27036          0.0.0.0:0              LISTENING       21160
  TCP    0.0.0.0:33060          0.0.0.0:0              LISTENING       6688
  TCP    0.0.0.0:35729          0.0.0.0:0              LISTENING       12416
  TCP    0.0.0.0:36450          0.0.0.0:0              LISTENING       20832
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING       1556
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING       1448
  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING       2576
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING       2836
  TCP    0.0.0.0:49668          0.0.0.0:0              LISTENING       4972
  TCP    0.0.0.0:49676          0.0.0.0:0              LISTENING       1520
  TCP    0.0.0.0:53743          0.0.0.0:0              LISTENING       12416
  TCP    127.0.0.1:5939         0.0.0.0:0              LISTENING       5692
  TCP    127.0.0.1:6463         0.0.0.0:0              LISTENING       26084
  TCP    127.0.0.1:8053         0.0.0.0:0              LISTENING       5184
  TCP    127.0.0.1:8296         127.0.0.1:50088        ESTABLISHED     20832
  TCP    127.0.0.1:27060        0.0.0.0:0              LISTENING       21160
  TCP    127.0.0.1:45112        0.0.0.0:0              LISTENING       21052
  TCP    127.0.0.1:49672        127.0.0.1:49673        ESTABLISHED     6688
  TCP    127.0.0.1:49673        127.0.0.1:49672        ESTABLISHED     6688
  TCP    127.0.0.1:49674        127.0.0.1:49675        ESTABLISHED     6688
  TCP    127.0.0.1:49675        127.0.0.1:49674        ESTABLISHED     6688
  TCP    127.0.0.1:49677        127.0.0.1:49678        ESTABLISHED     5228
  TCP    127.0.0.1:49678        127.0.0.1:49677        ESTABLISHED     5228
  TCP    127.0.0.1:49679        127.0.0.1:49680        ESTABLISHED     5228
  TCP    127.0.0.1:49680        127.0.0.1:49679        ESTABLISHED     5228
  TCP    127.0.0.1:49792        127.0.0.1:49793        ESTABLISHED     21052
  TCP    127.0.0.1:49793        127.0.0.1:49792        ESTABLISHED     21052
  TCP    127.0.0.1:49794        127.0.0.1:49795        ESTABLISHED     21052
  TCP    127.0.0.1:49795        127.0.0.1:49794        ESTABLISHED     21052
  TCP    127.0.0.1:49796        127.0.0.1:49797        ESTABLISHED     21052
  TCP    127.0.0.1:49797        127.0.0.1:49796        ESTABLISHED     21052
  TCP    127.0.0.1:49798        127.0.0.1:49799        ESTABLISHED     21052
  TCP    127.0.0.1:49799        127.0.0.1:49798        ESTABLISHED     21052
  TCP    127.0.0.1:49800        127.0.0.1:49801        ESTABLISHED     21052
  TCP    127.0.0.1:49801        127.0.0.1:49800        ESTABLISHED     21052
  TCP    127.0.0.1:49856        127.0.0.1:49857        ESTABLISHED     21052
  TCP    127.0.0.1:49857        127.0.0.1:49856        ESTABLISHED     21052
  TCP    127.0.0.1:49858        127.0.0.1:49859        ESTABLISHED     21052
  TCP    127.0.0.1:49859        127.0.0.1:49858        ESTABLISHED     21052
